res,pututime
0,94
0,32
0,24
0,32
0,33
0,38
0,29
0,41
0,44
0,48
0,32
0,31
0,32
0,36
0,41
0,31
0,71
0,41
0,36
0,38
0,35
0,40
0,42
0,33
0,74
0,36
0,71
0,34
0,43
0,34
0,45
0,43
0,39
0,50
0,39
0,35
0,41
0,36
0,30
0,38
0,30
0,27
0,33
0,45
0,34
0,40
0,31
0,40
0,29
0,32
0,39
0,35
0,35
0,42
0,37
0,64
0,35
0,34
0,38
0,60
0,32
0,34
0,36
0,51
0,45
0,34
0,30
0,40
0,36
0,30
0,33
0,32
0,35
0,42
0,60
0,35
0,50
0,33
0,60
0,33
0,38
0,41
0,36
0,36
0,39
0,32
0,44
0,38
0,39
0,36
0,36
0,38
0,42
0,53
0,33
0,47
0,35
0,36
0,49
0,34
0,35
0,35
0,34
0,72
0,45
0,36
0,37
0,33
0,61
0,39
0,42
0,45
0,34
0,36
0,36
0,38
0,33
0,41
0,31
0,36
0,46
0,35
0,36
0,48
0,39
0,33
0,44
0,41
0,37
0,43
0,41
0,41
0,39
0,42
0,36
0,37
0,40
0,44
0,40
0,40
0,38
0,36
0,56
0,43
0,34
0,32
0,39
0,34
0,38
0,36
0,36
0,45
0,36
0,37
0,40
0,33
0,35
0,32
0,37
0,32
0,33
0,37
0,36
0,55
0,41
0,33
0,37
0,35
0,51
0,35
0,57
0,38
0,44
0,41
0,40
0,37
0,36
0,39
0,43
0,37
0,36
0,49
0,46
0,77
0,31
0,39
0,30
0,36
0,34
0,41
0,35
0,32
0,95
0,36
0,37
0,35
0,46
0,29
0,46
0,50
0,38
0,32
0,32
0,36
0,34
0,39
0,42
0,43
0,32
0,36
0,42
0,36
0,37
0,45
0,33
0,38
0,33
0,44
0,33
0,43
0,41
0,42
0,37
0,35
0,47
0,46
0,37
0,44
0,34
0,37
0,41
0,75
0,45
0,40
0,43
0,53
0,41
0,39
0,39
0,39
0,38
0,42
0,46
0,36
0,39
0,37
0,40
0,44
0,36
0,72
0,44
0,42
0,39
0,44
0,37
0,46
0,41
0,37
0,43
0,42
0,43
0,42
0,36
0,36
0,37
0,37
0,44
0,34
0,46
0,40
0,34
0,37
0,43
0,40
0,38
0,37
0,35
0,41
0,37
0,34
0,37
0,44
0,40
0,44
0,43
0,54
0,42
0,39
0,34
0,35
0,32
0,36
0,37
0,43
0,44
0,50
0,39
0,41
0,45
0,31
0,51
0,37
0,38
0,38
0,35
0,36
0,42
0,38
0,39
0,36
0,33
0,36
0,38
0,40
0,37
0,36
0,34
0,33
0,37
0,71
0,35
0,72
0,37
0,40
0,38
0,38
0,31
0,40
0,39
0,36
0,37
0,44
0,35
0,55
0,39
0,37
0,34
0,34
0,35
0,39
0,32
0,37
0,50
0,40
0,45
0,49
0,39
0,37
0,35
0,34
0,38
0,40
0,37
0,37
0,36
0,37
0,51
0,37
0,54
0,51
0,37
0,36
0,60
0,37
0,42
0,73
0,39
0,34
0,41
0,35
0,44
0,35
0,37
0,43
0,38
0,33
0,37
0,37
0,35
0,45
0,33
0,37
0,45
0,39
0,46
0,66
0,38
0,42
0,40
0,39
0,33
0,35
0,38
0,40
0,36
0,39
0,35
0,36
0,34
0,42
0,45
0,44
0,39
0,46
0,39
0,35
0,57
0,44
0,43
0,36
0,44
0,30
0,38
0,35
0,42
0,48
0,40
0,40
0,45
0,34
0,43
0,56
0,64
0,66
0,36
0,44
0,36
0,39
0,43
0,51
0,38
0,40
0,79
0,41
0,46
0,46
0,35
0,38
0,37
0,41
0,36
0,35
0,53
0,72
0,69
0,37
0,42
0,38
0,72
0,41
0,36
0,38
0,44
0,40
0,40
0,33
0,37
0,32
0,41
0,35
0,40
0,37
0,37
0,38
0,56
0,37
0,55
0,36
0,39
0,41
0,36
0,38
0,43
0,39
0,40
0,39
0,39
0,45
0,38
0,39
0,51
0,36
0,46
0,36
0,37
0,40
0,39
0,44
0,42
0,43
0,37
