res,getrtime
0,44
0,46
0,28
0,28
57790,32
57790,55
57790,25
57790,48
57790,19
106114,27
106114,43
106114,39
106114,30
106114,32
152690,42
152690,24
152690,37
152690,40
152690,55
198430,70
198430,55
198430,42
198430,32
198430,60
238870,35
238870,45
238870,46
238870,52
238870,29
275696,23
275696,657
275696,47
275696,44
275696,40
314030,32
314030,8
314030,50
314030,60
314030,44
354362,48
354362,22
354362,44
354362,44
354362,22
395477,133
395477,32
395477,24
395477,37
395477,43
435014,23
435014,54
435014,29
435014,69
435014,23
466783,107
466783,27
466783,50
466783,10
466783,48
504278,91
504278,55
504278,41
504278,41
504278,25
504278,56
544470,35
544470,29
544470,36
544470,19
544470,44
583686,58
583686,46
583686,47
583686,13
583686,29
613682,30
613682,36
613682,36
613682,46
613682,35
613682,47
649829,38
649829,18
649829,43
649829,14
649829,45
689679,66
689679,30
689679,44
689679,29
689679,36
727113,38
727113,55
727113,32
727113,60
727113,39
758686,35
758686,51
758686,44
758686,48
758686,57
794392,109
794392,54
794392,18
794392,47
794392,14
831479,46
831479,13
831479,27
831479,22
831479,25
864521,24
864521,81
864521,43
864521,28
864521,52
895573,88
895573,46
895573,17
895573,58
895573,15
928107,38
928107,18
928107,49
928107,28
928107,83
959556,29
959556,27
959556,6787
959556,51
959556,37
990827,34
990827,38
990827,35
990827,32
990827,32
1026824,177
1026824,26
1026824,40
1026824,23
1026824,29
1060698,43
1060698,25
1060698,48
1060698,28
1060698,50
1091171,37
1091171,24
1091171,39
1091171,14
1091171,43
1125382,62
1125382,41
1125382,37
1125382,26
1125382,33
1159225,25
1159225,38
1159225,53
1159225,32
1159225,70
1190204,26
1190204,40
1190204,26
1190204,16
1190204,38
1224075,101
1224075,25
1224075,41
1224075,21
1224075,27
1257751,29
1257751,46
1257751,49
1257751,46
1257751,45
1288145,113
1288145,12
1288145,33
1288145,27
1288145,25
1321829,72
1321829,10
1321829,58
1321829,22
1321829,24
1354417,40
1354417,25
1354417,26
1354417,29
1354417,21
1383739,38
1383739,29
1383739,31
1383739,8
1383739,18
1415834,35
1415834,41
1415834,35
1415834,19
1415834,33
1446805,39
1446805,42
1446805,708
1446805,27
1446805,2373
1479433,41
1479433,32
1479433,19
1479433,25
1479433,13
1479433,909
1511233,93
1511233,12
1511233,29
1511233,34
1511233,23
1543172,40
1543172,13
1543172,30
1543172,57
1543172,33
1573100,42
1573100,24
1573100,31
1573100,33
1573100,16
1603974,51
1603974,46
1603974,19
1603974,39
1603974,41
1631225,34
1631225,22
1631225,21
1631225,44
1631225,30
1661585,38
1661585,18
1661585,14
1661585,41
1661585,23
1694544,24
1694544,59
1694544,12
1694544,22
1694544,53
1723202,35
1723202,9
1723202,9
1723202,26
1723202,46
1753349,57
1753349,34
1753349,19
1753349,47
1753349,24
1784570,31
1784570,32
1784570,49
1784570,38
1784570,36
1814558,33
1814558,129
1814558,28
1814558,26
1814558,26
1844587,53
1844587,13
1844587,27
1844587,28
1844587,12
1871728,40
1871728,23
1871728,24
1871728,16
1871728,27
1878201,63
1878201,79479
1878201,47
1878201,8
1878201,19
1883019,41
1883019,34
1883019,21
1883019,82
1883019,25
1887115,35
1887115,42
1887115,14
1887115,28
1887115,25
1888418,24
1888418,66
1888418,38
1888418,26
1888418,29
1899785,17
1899785,118
