res,getrtime
0,378
0,66
0,99
0,68
15363,85
15363,48
15363,54
15363,71
15363,51
31360,32
31360,104
31360,42
31360,49
31360,64
46700,68
46700,57
46700,61
46700,69
46700,91
61471,78
61471,63
61471,172
61471,32
61471,92
61471,29
69488,42
69488,29
69488,42
69488,32
69488,26
76715,887
76715,12
76715,50
76715,43
76715,234
82329,53
82329,28
82329,38
82329,46
82329,96
94421,43
94421,45
94421,42
94421,107
94421,115
108117,37
108117,1033
108117,52
108117,128
108117,45
122033,32
122033,50
122033,69
122033,62
122033,69
135412,81
135412,52
135412,44
135412,81
135412,81
148458,47
148458,86
148458,49
148458,76
148458,79
162033,76
162033,40
162033,64
162033,68
162033,46
175428,106
175428,50
175428,64
175428,83
175428,81
188937,50
188937,52
188937,55
188937,67
188937,75
202354,59
202354,49
202354,76
202354,61
202354,47
215473,38
215473,26
215473,98
215473,19
215473,37
228321,33
228321,51
228321,109
228321,97
228321,86
245412,28
245412,41
245412,61
245412,39
245412,42
262300,33
262300,60
262300,37
262300,60
262300,40
278868,40
278868,32
278868,63
278868,47
278868,64
295205,33
295205,58
295205,101
295205,11
295205,119
311523,69
311523,65
311523,59
311523,47
311523,62
327621,38
327621,46
327621,13
327621,55
327621,32
343643,60
343643,45
343643,20
343643,49
343643,47
359145,34
359145,40
359145,23
359145,51
359145,91
375115,72
375115,99
375115,65
375115,42
375115,75
391085,40
391085,39
391085,66
391085,21
391085,81
406838,40
406838,33
406838,36
406838,40
406838,65
422651,46
422651,62
422651,38
422651,20
422651,59
437590,39
437590,36
437590,44
437590,52
437590,41
453150,35
453150,50
453150,74
453150,73
453150,84
468385,50
468385,37
468385,47
468385,55
468385,59
483612,42
483612,32
483612,21
483612,38
483612,90
498763,34
498763,30
498763,48
498763,65
498763,51
513855,67
513855,37
513855,24
513855,84
513855,55
528496,36
528496,26
528496,36
528496,65
528496,57
543481,27
543481,37
543481,50
543481,78
543481,89
558318,65
558318,20
558318,45
558318,86
558318,53
573117,66
573117,39
573117,61
573117,93
573117,72
573117,132
587490,14
587490,35
587490,111
587490,59
587490,38
601779,38
601779,48
601779,47
601779,105
601779,60
616265,24
616265,20
616265,32
616265,76
616265,51
630581,31
630581,45
630581,46
630581,66
630581,40
644766,72
644766,27
644766,60
644766,67
644766,270
657821,65
657821,27
657821,70
657821,65
657821,75
671422,63
671422,30
671422,24
671422,43
671422,46
686271,44
686271,42
686271,117
686271,86
686271,35
700349,38
700349,29
700349,44
700349,63
