chunks,put100time
0,1
1000,232
2000,252
3000,265
4000,319
5000,362
6000,348
7000,348
8000,362
9000,380
10000,381
11000,368
12000,365
13000,325
14000,291
15000,287
16000,1079
17000,295
18000,298
19000,310
20000,301
21000,314
22000,307
23000,303
24000,323
25000,319
26000,316
27000,336
28000,311
29000,340
30000,319
31000,325
32000,1503
33000,313
34000,316
35000,326
36000,340
37000,321
38000,334
39000,325
40000,318
41000,327
42000,336
43000,317
44000,347
45000,320
46000,336
47000,1516
48000,304
49000,321
50000,342
51000,337
52000,342
53000,344
54000,354
55000,340
56000,348
57000,344
58000,343
59000,342
60000,345
61000,345
62000,1521
63000,316
64000,342
65000,382
66000,619
67000,772
68000,871
69000,1169
70000,2360
71000,769
72000,591
73000,574
74000,640
75000,683
76000,791
77000,3908
78000,985
79000,854
80000,991
81000,702
82000,945
83000,1526
84000,550
85000,563
86000,433
87000,359
88000,332
89000,360
90000,352
91000,358
92000,346
93000,350
94000,361
95000,1450
96000,342
97000,351
98000,340
99000,367
100000,360
101000,367
102000,355
103000,377
104000,371
105000,362
106000,365
107000,361
108000,378
109000,1625
110000,345
111000,342
112000,368
113000,355
114000,341
115000,372
116000,361
117000,387
118000,346
119000,381
120000,370
121000,351
122000,371
123000,1481
124000,334
125000,369
126000,362
127000,375
128000,393
129000,367
130000,380
131000,389
132000,373
133000,394
134000,392
135000,386
136000,1590
137000,365
138000,371
139000,387
140000,372
141000,380
142000,388
143000,393
144000,386
145000,374
146000,403
147000,413
148000,389
149000,1610
150000,327
151000,386
152000,339
153000,372
154000,354
155000,382
156000,405
157000,377
158000,398
159000,346
160000,379
161000,362
162000,385
163000,1586
164000,365
165000,342
166000,369
167000,349
168000,408
169000,388
170000,403
171000,395
172000,389
173000,362
174000,383
175000,364
176000,1699
177000,333
178000,378
179000,363
180000,376
181000,353
182000,387
183000,382
184000,379
185000,396
186000,370
187000,391
188000,356
189000,1656
190000,340
191000,348
192000,362
193000,357
194000,412
195000,357
196000,361
197000,386
198000,380
199000,382
200000,369
201000,385
202000,394
203000,1696
204000,373
205000,356
206000,396
207000,390
208000,390
209000,408
210000,381
211000,395
212000,361
213000,391
214000,377
215000,353
216000,1700
217000,343
218000,383
219000,364
220000,363
221000,405
222000,626
223000,671
224000,339
225000,324
226000,305
227000,277
228000,317
229000,1337
230000,265
231000,269
232000,305
233000,295
234000,294
235000,306
236000,297
237000,295
238000,296
239000,289
240000,319
241000,298
242000,296
243000,289
244000,276
245000,313
246000,1553
247000,272
248000,305
249000,289
250000,286
251000,314
252000,293
253000,295
254000,337
255000,307
256000,274
257000,307
258000,304
259000,293
260000,288
261000,311
262000,290
263000,1427
264000,280
265000,283
266000,336
267000,294
268000,315
269000,319
270000,328
271000,303
272000,285
273000,318
274000,293
275000,290
276000,309
277000,316
278000,292
279000,1369
280000,264
281000,316
282000,292
283000,291
284000,316
285000,312
286000,301
287000,311
288000,348
289000,309
290000,297
291000,327
292000,299
293000,300
294000,328
295000,288
296000,1623
297000,282
298000,287
299000,314
300000,299
301000,292
302000,334
303000,315
304000,313
305000,301
306000,334
307000,293
308000,315
309000,340
310000,298
311000,298
312000,1567
313000,292
314000,327
315000,287
316000,306
317000,301
318000,333
319000,306
320000,297
321000,313
322000,338
323000,303
324000,302
325000,308
326000,332
327000,320
328000,1651
329000,280
330000,295
331000,346
332000,301
333000,307
334000,311
335000,341
336000,294
337000,308
338000,325
339000,327
340000,312
341000,298
342000,318
343000,344
344000,1528
345000,281
346000,293
347000,299
348000,331
349000,320
350000,298
351000,307
352000,303
353000,334
354000,314
355000,319
356000,303
357000,366
358000,350
359000,417
360000,1813
361000,285
362000,338
363000,308
364000,305
365000,327
366000,306
367000,348
368000,317
369000,300
370000,291
371000,306
372000,343
373000,313
374000,315
375000,315
376000,1630
377000,336
378000,293
379000,311
380000,291
381000,306
382000,340
383000,292
384000,308
385000,305
386000,297
387000,353
388000,310
389000,305
390000,318
391000,349
392000,1774
393000,290
394000,302
395000,297
396000,317
397000,341
398000,324
399000,303
400000,292
401000,301
402000,348
403000,313
404000,313
405000,321
406000,311
407000,1754
408000,317
409000,290
410000,298
411000,310
412000,333
413000,346
414000,300
415000,309
416000,313
417000,298
418000,353
419000,307
420000,303
421000,317
422000,311
423000,1644
424000,285
425000,351
426000,315
427000,331
428000,314
429000,354
430000,381
431000,320
432000,323
433000,351
434000,390
435000,339
436000,326
437000,333
438000,1469
439000,294
440000,306
441000,319
442000,318
443000,369
444000,323
445000,308
446000,320
447000,315
448000,315
449000,363
450000,325
451000,327
452000,322
453000,314
454000,1671
455000,319
456000,298
457000,356
458000,350
459000,307
460000,325
461000,348
462000,308
463000,382
464000,325
465000,312
466000,320
467000,319
468000,320
469000,1465
470000,316
471000,308
472000,317
473000,360
474000,321
475000,331
476000,326
477000,328
478000,357
479000,327
480000,327
481000,310
482000,323
483000,310
484000,1640
485000,288
486000,312
487000,313
488000,400
489000,356
490000,324
491000,343
492000,316
493000,323
494000,376
495000,308
496000,318
497000,320
498000,323
499000,1578
500000,304
501000,302
502000,322
503000,366
504000,321
505000,322
506000,333
507000,321
508000,339
509000,379
510000,327
511000,332
512000,336
513000,332
514000,1580
515000,293
516000,323
517000,329
518000,339
519000,407
520000,341
521000,340
522000,335
523000,344
524000,382
525000,353
526000,323
527000,335
528000,338
529000,1608
530000,302
531000,350
532000,331
533000,340
534000,318
535000,373
536000,343
537000,323
538000,322
539000,326
540000,321
541000,387
542000,334
543000,311
544000,1580
545000,364
546000,326
547000,333
548000,322
549000,316
550000,330
551000,398
552000,316
553000,330
554000,326
555000,319
556000,335
557000,326
558000,386
559000,1525
560000,300
561000,338
562000,330
563000,382
564000,334
565000,348
566000,329
567000,343
568000,330
569000,335
570000,391
571000,319
572000,344
573000,327
574000,1653
575000,324
576000,338
577000,346
578000,362
579000,359
580000,346
581000,335
582000,407
583000,364
584000,325
585000,342
586000,327
587000,329
588000,1552
589000,320
590000,331
591000,340
592000,326
593000,446
594000,353
595000,335
596000,354
597000,344
598000,344
599000,358
600000,384
601000,345
602000,1481
603000,312
604000,330
605000,401
606000,345
607000,324
608000,336
609000,352
610000,326
611000,355
612000,410
613000,326
614000,357
615000,329
616000,338
617000,1632
618000,363
619000,336
620000,340
621000,343
622000,361
623000,345
624000,355
625000,397
626000,335
627000,331
628000,342
629000,335
630000,355
631000,1755
632000,319
633000,342
634000,349
635000,337
636000,332
637000,338
638000,367
639000,449
640000,363
641000,327
642000,343
643000,372
644000,377
645000,1928
646000,403
647000,433
648000,328
649000,360
650000,365
651000,455
652000,396
653000,352
654000,371
655000,373
656000,398
657000,337
658000,1823
659000,340
660000,343
661000,335
662000,415
663000,399
664000,360
665000,357
666000,366
667000,392
668000,349
669000,387
670000,361
671000,373
672000,1753
673000,370
674000,315
675000,324
676000,335
677000,320
678000,339
679000,326
680000,328
681000,391
682000,334
683000,320
684000,341
685000,329
686000,350
687000,1848
688000,317
689000,334
690000,335
691000,336
692000,368
693000,455
694000,338
695000,346
696000,370
697000,389
698000,313
699000,398
700000,347
701000,1690
702000,307
703000,392
704000,330
705000,328
706000,332
707000,357
708000,332
709000,329
710000,353
711000,372
712000,452
713000,325
714000,347
715000,2225
716000,304
717000,318
718000,307
719000,326
720000,321
721000,394
722000,356
723000,341
724000,353
725000,347
726000,340
727000,362
728000,408
729000,348
730000,1569
731000,316
732000,323
733000,320
734000,411
735000,339
736000,339
737000,339
738000,362
739000,336
740000,326
741000,354
742000,438
743000,376
744000,1838
745000,315
746000,318
747000,337
748000,336
749000,313
750000,353
751000,361
752000,380
753000,350
754000,349
755000,435
756000,369
757000,360
758000,2054
759000,315
760000,324
761000,320
762000,315
763000,316
764000,323
765000,390
766000,319
767000,327
768000,325
769000,322
770000,313
771000,318
772000,319
773000,1633
774000,312
775000,332
776000,328
777000,336
778000,331
779000,343
780000,391
781000,363
782000,346
783000,363
784000,317
785000,328
786000,355
787000,368
788000,1770
789000,304
790000,337
791000,318
792000,332
793000,353
794000,394
795000,329
796000,340
797000,363
798000,364
799000,319
800000,332
801000,349
802000,1825
803000,302
804000,328
805000,310
806000,343
807000,363
808000,444
809000,342
810000,361
811000,366
812000,385
813000,327
814000,338
815000,353
816000,1679
817000,311
818000,331
819000,352
820000,373
821000,361
822000,403
823000,336
824000,330
825000,318
826000,335
827000,312
828000,325
829000,321
830000,411
831000,1465
832000,318
833000,307
834000,320
835000,331
836000,355
837000,328
838000,331
839000,460
840000,375
841000,343
842000,332
843000,341
844000,366
845000,1852
846000,294
847000,314
848000,316
849000,327
850000,327
851000,411
852000,345
853000,350
854000,350
855000,351
856000,352
857000,333
858000,338
859000,446
860000,1609
861000,320
862000,335
863000,343
864000,362
865000,374
866000,363
867000,399
868000,410
869000,363
870000,360
871000,330
872000,348
873000,366
874000,2146
875000,319
876000,326
877000,324
878000,349
879000,414
880000,318
881000,328
882000,319
883000,326
884000,332
885000,317
886000,325
887000,317
888000,435
889000,1544
890000,321
891000,312
892000,334
893000,354
894000,366
895000,329
896000,330
897000,425
898000,353
899000,329
900000,331
901000,323
902000,331
903000,1475
904000,327
905000,455
906000,352
907000,342
908000,344
909000,357
910000,383
911000,328
912000,348
913000,367
914000,360
915000,365
916000,568
917000,2062
918000,318
919000,332
920000,411
921000,355
922000,325
923000,343
924000,340
925000,331
926000,346
927000,348
928000,331
929000,440
930000,346
931000,1582
932000,314
933000,324
934000,331
935000,326
936000,344
937000,344
938000,458
939000,356
940000,364
941000,377
942000,334
943000,334
944000,350
945000,1692
946000,341
947000,326
948000,349
949000,327
950000,338
951000,356
952000,338
953000,324
954000,403
955000,418
956000,357
957000,322
958000,346
959000,1591
960000,294
961000,335
962000,447
963000,345
964000,367
965000,380
966000,345
967000,321
968000,347
969000,347
970000,375
971000,316
972000,340
973000,365
974000,2095
975000,322
976000,329
977000,390
978000,384
979000,335
980000,336
981000,340
982000,336
983000,328
984000,344
985000,321
986000,329
987000,328
988000,1626
989000,302
990000,337
991000,316
992000,323
993000,336
994000,348
995000,378
996000,335
997000,333
998000,355
999000,482
1000000,371
1001000,331
1002000,2124
1003000,431
1004000,324
1005000,326
1006000,345
1007000,346
1008000,330
1009000,332
1010000,353
1011000,335
1012000,438
1013000,336
1014000,332
1015000,351
1016000,334
1017000,1650
1018000,320
1019000,326
1020000,350
1021000,348
1022000,465
1023000,322
1024000,366
1025000,349
1026000,370
1027000,325
1028000,331
1029000,350
1030000,381
1031000,1749
1032000,328
1033000,343
1034000,364
1035000,375
1036000,314
1037000,336
1038000,355
1039000,469
1040000,359
1041000,341
1042000,356
1043000,366
1044000,377
1045000,1637
1046000,333
1047000,438
1048000,315
1049000,331
1050000,349
1051000,315
1052000,343
1053000,382
1054000,383
1055000,348
1056000,334
1057000,353
1058000,371
1059000,2012
1060000,354
1061000,354
1062000,347
1063000,352
1064000,365
1065000,479
1066000,358
1067000,389
1068000,380
1069000,353
1070000,331
1071000,341
1072000,363
1073000,1848
1074000,309
1075000,328
1076000,329
1077000,342
1078000,340
1079000,316
1080000,333
1081000,350
1082000,359
1083000,347
1084000,339
1085000,359
1086000,374
1087000,1919
1088000,330
1089000,350
1090000,370
1091000,382
1092000,323
1093000,344
1094000,476
1095000,385
1096000,349
