res,getrtime
0,36
0,7245
0,23
0,28
19935,32
19935,20
19935,63
19935,30
19935,23
37069,22
37069,20
37069,21
37069,25
37069,72
53586,22
53586,35
53586,22
53586,44
53586,43
70502,30
70502,20
70502,21
70502,35
70502,27
86805,25
86805,21
86805,56
86805,38
86805,43
103082,36
103082,42
103082,25
103082,26
103082,154
115798,33
115798,23
115798,61
115798,15
115798,61
131241,49
131241,21
131241,24
131241,88
131241,98
144849,31
144849,30
144849,83
144849,16
144849,33
159056,40
159056,55
159056,24
159056,70
159056,34
172419,17
172419,21
172419,20
172419,39
172419,29
187234,17
187234,22
187234,21
187234,29
187234,46
201397,20
201397,21
201397,46
201397,34
201397,23
214087,92
214087,40
214087,832
214087,41
214087,19
225536,22
225536,17
225536,25
225536,69
225536,16
238047,20
238047,33
238047,26
238047,21
238047,45
251027,54
251027,22
251027,44
251027,53
251027,41
263073,50
263073,23
263073,21
263073,34
263073,102
276110,40
276110,28
276110,57
276110,19
276110,36
286134,24
286134,25
286134,19
286134,27
286134,57
297544,29
297544,47
297544,25
297544,47
297544,40
309779,183
309779,74
309779,18
309779,25
309779,46
321064,24
321064,28
321064,33
321064,23
321064,45
330667,45
330667,20
330667,18
330667,30
330667,54
342825,20
342825,37
342825,38
342825,39
342825,19
352111,47
352111,29
352111,23
352111,145
352111,24
364839,49
364839,25
364839,25
364839,32
364839,31
374084,25
374084,30
374084,32
374084,15
374084,22
385611,20
385611,71
385611,29
385611,27
385611,33
398430,76
398430,30
398430,25
398430,32
398430,19
409406,27
409406,36
409406,20
409406,52
409406,3461
421167,40
421167,20
421167,23
421167,19
421167,73
431608,38
431608,325
431608,66
431608,49
431608,49
443907,68
443907,18
443907,19
443907,86
443907,89
455085,29
455085,21
455085,31
455085,27
455085,44
464477,33
464477,42
464477,26
464477,24
464477,26
471445,25
471445,25
471445,25
471445,26
471445,31
481766,21
481766,24
481766,50
481766,24
481766,25
492777,57
492777,19
492777,32
492777,66
492777,47
503881,60
503881,89
503881,45
503881,37
503881,21
514507,26
514507,18
514507,24
514507,42
514507,27
525604,22
525604,97
525604,25
525604,55
525604,19
535265,45
535265,28
535265,43
535265,49
535265,33
541186,33
541186,28
541186,33
541186,133
541186,40
546735,45
546735,67
546735,32
546735,36
546735,24
555311,31
555311,41
555311,33
555311,24
555311,40
566131,46
566131,28
566131,4992
566131,23
566131,27
576143,60
576143,18
576143,24
576143,26
576143,51
586530,26
586530,36
586530,42
586530,110
586530,25
596821,51
596821,25
596821,28
596821,35
596821,62
608058,16
608058,28
608058,21
608058,27
608058,18
618705,56
618705,38
618705,24
618705,23
618705,62
629004,61
629004,41
629004,57
629004,30
629004,29
640233,27
640233,32
640233,30
640233,31
640233,37
649721,31
649721,21
649721,296
649721,34
649721,26
660502,21
660502,25
660502,28
660502,38
660502,47
670798,20
670798,142
670798,41
670798,29
670798,51
680647,27
680647,22
680647,58
680647,20
680647,32
690243,21
690243,24
690243,31
690243,142
690243,40
699469,25
699469,40
699469,106
699469,48
699469,25
709096,64
709096,21
709096,21
709096,25
709096,32
718019,26
718019,24
718019,27
718019,64
718019,53
727452,25
727452,66
727452,32
727452,170
727452,95
735313,35
735313,174
735313,51
735313,47
735313,34
741065,26
741065,101
741065,29
741065,63
741065,22
750199,29
750199,35
750199,24
750199,20
750199,28
760760,49
760760,22
760760,50
760760,63
760760,47
769653,48
769653,21
769653,27
769653,25
769653,30
779223,46
779223,30
779223,18
779223,27
779223,31
788926,27
788926,18
788926,22
788926,22
788926,83
797762,37
797762,28
797762,42
797762,30
797762,50
802736,18
802736,27
802736,28
802736,60
802736,52
811959,46
811959,27
811959,23
811959,30
811959,43
822721,94
822721,33
822721,17
822721,26
822721,25
830459,52
830459,30
830459,38
830459,80
830459,54
839607,20
839607,25
839607,36
839607,36
839607,44
850000,71
850000,28
850000,18
850000,25
850000,22
859999,77
859999,20
859999,1729
859999,46
859999,21
869611,31
869611,45
869611,35
869611,24
869611,35
869611,162
879645,26
879645,31
879645,23
879645,99
879645,89
889255,17
889255,25
889255,30
889255,71
889255,23
898919,66
898919,32
898919,31
898919,32
898919,59
908096,25
908096,29
908096,22
908096,56
908096,25
918116,31
918116,37
918116,14
918116,37
918116,3079
927334,144
927334,18
927334,22
927334,32
927334,62
937136,54
937136,23
937136,25
937136,122
937136,32
946963,29
946963,39
946963,33
946963,27
946963,22
954215,39
954215,56
954215,28
954215,28
954215,26
961656,39
961656,25
961656,51
961656,16
961656,16
969576,41
969576,28
969576,37
969576,25
969576,32
976586,33
976586,30
976586,67
976586,22
976586,54
983710,72
983710,28
983710,63
983710,29
983710,19
989869,40
989869,32
989869,87
989869,35
989869,36
996762,21
996762,60
996762,21
996762,54
996762,33
1003809,29
1003809,32
1003809,31
1003809,36
1003809,35
1011774,84
1011774,32
1011774,52
1011774,23
1011774,33
1018587,78
1018587,35
1018587,20
1018587,44
1018587,45
1025461,30
1025461,28
1025461,28
1025461,32
1025461,32
1033381,56
1033381,29
1033381,31
1033381,47
1033381,21
1040737,24
1040737,21
1040737,34
1040737,28
1040737,29
1047772,20
1047772,24
1047772,33
1047772,26
1047772,58
1047772,86
1055572,22
1055572,30
1055572,33
1055572,30
1055572,76
1055572,179
1062399,12
1062399,37
1062399,34
1062399,30
1062399,74
1069113,29
1069113,35
1069113,49
1069113,33
1069113,27
1075516,31
1075516,17
1075516,45
1075516,36
1075516,26
1081145,60
1081145,29
1081145,39
1081145,27
1081145,30
1088857,24
1088857,33
1088857,23
1088857,62
1088857,28
1095733,152
1095733,16
1095733,39
1095733,28
1095733,42
1103227,46
1103227,38
1103227,27
1103227,17
1103227,28
1109956,95
1109956,44
1109956,29
1109956,20
1109956,27
1116474,73
1116474,28
1116474,46
1116474,19
1116474,25
1122903,33
1122903,25
1122903,88
1122903,18
1122903,40
1129071,22
1129071,57
1129071,19
1129071,105
1129071,35
1133303,68
1133303,41
1133303,14
1133303,34
1133303,36
1137717,27
1137717,29
1137717,37
1137717,63
1137717,30
1145009,24
1145009,31
1145009,33
1145009,27
1145009,34
1152227,36
1152227,27
1152227,30
1152227,29
1152227,25
1159653,19
1159653,49
1159653,24
1159653,33
1159653,32
1166607,72
1166607,36
1166607,41
1166607,42
1166607,28
1166607,102
1174008,24
1174008,33
1174008,53
1174008,25
1174008,75
1182108,35
1182108,28
1182108,39
1182108,27
1182108,140
1189507,39
1189507,26
1189507,36
1189507,18
1189507,42
1195241,36
1195241,40
1195241,24
1195241,58
1195241,29
1201284,21
1201284,21
1201284,27
1201284,29
1201284,28
1207747,52
1207747,130
1207747,27
1207747,41
1207747,34
1207747,45
1214890,10
1214890,33
1214890,31
1214890,30
1214890,39
1220964,37
1220964,68
1220964,46
1220964,24
1220964,54
1227945,25
1227945,27
1227945,74
1227945,93
1227945,23
1234698,41
1234698,25
1234698,37
1234698,87
1234698,38
1239821,51
1239821,21
1239821,47
1239821,72
1239821,53
1245699,67
1245699,44
1245699,26
1245699,32
1245699,96
1252132,24
1252132,16
1252132,40
1252132,29
1252132,17
1258146,99
1258146,13
1258146,66
1258146,30
1258146,23
1264070,61
1264070,23
1264070,45
1264070,24
1264070,21
1270402,38
1270402,29
1270402,13
1270402,29
1270402,34
1276966,35
1276966,37
1276966,24
1276966,30
1276966,54
1284392,27
1284392,29
1284392,26
1284392,30
1284392,25
1291719,186
1291719,24
1291719,22
1291719,33
1291719,26
1291719,1120
1298739,60
1298739,27
1298739,28
1298739,91
1298739,26
1305998,78
1305998,26
1305998,19
1305998,27
1305998,32
1313961,33
1313961,48
1313961,17
1313961,31
1313961,37
1320866,74
1320866,36
1320866,23
1320866,32
1320866,16
1327394,24
1327394,65
1327394,23
1327394,35
1327394,20
1333598,34
1333598,27
1333598,31
1333598,44
1333598,35
1333598,52
1338379,29
1338379,28
1338379,30
1338379,60
1338379,63
1343778,122
1343778,45
1343778,35
1343778,87
1343778,17
1348946,22
1348946,45
1348946,28
1348946,30
1348946,18
1355960,87
1355960,53
1355960,29
1355960,41
1355960,21
1362328,27
1362328,55
1362328,28
1362328,20
1362328,75
1367880,46
1367880,27
1367880,17
1367880,28
1367880,31
1374246,42
1374246,33
1374246,61
1374246,25
1374246,82
1378966,26
1378966,33
1378966,26
1378966,29
1378966,38
1385379,20
1385379,32
1385379,38
1385379,23
1385379,81
1392187,78
1392187,17
1392187,29
1392187,12
1392187,68
1399195,43
1399195,35
1399195,31
1399195,24
1399195,34
1405564,67
1405564,33
1405564,23
1405564,34
1405564,54
1412251,47
1412251,31
1412251,23
1412251,835
1412251,63
1417826,36
1417826,20
1417826,31
1417826,13
1417826,30
1422965,32
1422965,15
1422965,41
1422965,43
1422965,14
1429380,22
1429380,38
1429380,43
1429380,21
1429380,49
1435367,33
1435367,34
1435367,57
1435367,51
1435367,37
1442139,50
1442139,36
1442139,25
1442139,51
1442139,52
1453133,97
1453133,427
1453133,22
1453133,27
