chunks,put100time
0,0
1000,256
2000,247
3000,252
4000,251
5000,250
6000,248
7000,247
8000,487
9000,643
10000,201
11000,187
12000,172
13000,167
14000,176
15000,214
16000,195
17000,234
18000,216
19000,180
20000,919
21000,166
22000,235
23000,219
24000,250
25000,246
26000,285
27000,191
28000,185
29000,368
30000,427
31000,374
32000,440
33000,293
34000,223
35000,240
36000,372
37000,406
38000,1809
39000,286
40000,218
41000,214
42000,227
43000,256
44000,223
45000,266
46000,267
47000,360
48000,316
49000,301
50000,286
51000,281
52000,526
53000,491
54000,1438
55000,298
56000,246
57000,272
58000,212
59000,255
60000,250
61000,273
62000,268
63000,348
64000,292
65000,240
66000,263
67000,301
68000,327
69000,330
70000,444
71000,1904
72000,348
73000,372
74000,325
75000,277
76000,303
77000,302
78000,299
79000,244
80000,299
81000,310
82000,288
83000,334
84000,284
85000,319
86000,294
87000,1677
88000,310
89000,276
90000,311
91000,277
92000,326
93000,265
94000,334
95000,286
96000,327
97000,311
98000,313
99000,319
100000,321
101000,296
102000,315
103000,308
104000,1367
105000,327
106000,330
107000,304
108000,323
109000,287
110000,293
111000,402
112000,507
113000,535
114000,535
115000,527
116000,1630
117000,294
118000,352
119000,279
120000,348
121000,260
122000,304
123000,280
124000,305
125000,305
126000,352
127000,321
128000,347
129000,376
130000,322
131000,403
132000,1612
133000,300
134000,336
135000,284
136000,304
137000,304
138000,348
139000,374
140000,435
141000,487
142000,564
143000,343
144000,296
145000,1383
146000,326
147000,313
148000,338
149000,297
150000,315
151000,347
152000,414
153000,409
154000,370
155000,375
156000,341
157000,325
158000,328
159000,407
160000,1559
161000,301
162000,371
163000,520
164000,313
165000,317
166000,350
167000,379
168000,350
169000,306
170000,327
171000,353
172000,588
173000,1829
174000,331
175000,312
176000,381
177000,325
178000,347
179000,338
180000,311
181000,308
182000,396
183000,315
184000,338
185000,313
186000,368
187000,348
188000,1675
189000,287
190000,298
191000,317
192000,350
193000,344
194000,319
195000,352
196000,309
197000,388
198000,461
199000,418
200000,343
201000,351
202000,1478
203000,381
204000,641
205000,494
206000,310
207000,389
208000,409
209000,360
210000,362
211000,316
212000,393
213000,360
214000,335
215000,2427
216000,461
217000,493
218000,451
219000,498
220000,593
221000,332
222000,300
223000,369
224000,326
225000,349
226000,1739
227000,423
228000,329
229000,335
230000,425
231000,478
232000,545
233000,347
234000,387
235000,363
236000,378
